title,company,location,salary,description,requirements,url,date_posted,source
Registered Nurse,Northbridge Health,"Columbus, OH","78,000-118,000","Northbridge Health is hiring a Registered Nurse in Columbus, OH. Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management. Licensing or registration required.

Responsibilities:
- Record patients' medical information and vital signs.
- Administer medications to patients and monitor patients for reactions or side effects.
- Maintain accurate, detailed reports and records.
- Monitor, record, and report symptoms or changes in patients' conditions.
- Provide health care, first aid, immunizations, or assistance in convalescence or rehabilitation in locations such as schools, hospitals, or industry.
- Consult and coordinate with healthcare team members to assess, plan, implement, or evaluate patient care plans.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Apache Spark, eClinicalWorks EHR software, Epic Systems, Google Docs, Henry Schein Dentrix
- Working knowledge of Psychology
- Working knowledge of Customer and Personal Service
- Working knowledge of Medicine and Dentistry

Preferred qualifications:
- Experience with Kronos Workforce Timekeeper, MEDITECH software, Microsoft Access, Microsoft Excel",Apache Spark; eClinicalWorks EHR software; Epic Systems; Google Docs; Henry Schein Dentrix; Psychology; Customer and Personal Service; Medicine and Dentistry,https://example.com/jobs/29-1141.00,2026-06-01,LinkedIn
Registered Nurse,Capital One,"Charlotte, NC","78,000-118,000","Capital One is hiring a Registered Nurse in Charlotte, NC. Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management. Licensing or registration required.

Responsibilities:
- Record patients' medical information and vital signs.
- Administer medications to patients and monitor patients for reactions or side effects.
- Maintain accurate, detailed reports and records.
- Monitor, record, and report symptoms or changes in patients' conditions.
- Provide health care, first aid, immunizations, or assistance in convalescence or rehabilitation in locations such as schools, hospitals, or industry.
- Consult and coordinate with healthcare team members to assess, plan, implement, or evaluate patient care plans.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Apache Spark, eClinicalWorks EHR software, Epic Systems, Google Docs, Henry Schein Dentrix
- Working knowledge of Psychology
- Working knowledge of Customer and Personal Service
- Working knowledge of Medicine and Dentistry

Preferred qualifications:
- Experience with Kronos Workforce Timekeeper, MEDITECH software, Microsoft Access, Microsoft Excel",Apache Spark; eClinicalWorks EHR software; Epic Systems; Google Docs; Henry Schein Dentrix; Psychology; Customer and Personal Service; Medicine and Dentistry,https://example.com/jobs/29-1141.00,2026-06-01,LinkedIn
Medical and Health Services Manager,Turner Construction,"Charlotte, NC","78,000-118,000","Turner Construction is hiring a Medical and Health Services Manager in Charlotte, NC. Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.

Responsibilities:
- Direct, supervise and evaluate work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel.
- Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.
- Plan, implement, and administer programs and services in a health care or medical facility, including personnel administration, training, and coordination of medical, nursing and physical plant staff.
- Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.
- Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.
- Establish work schedules and assignments for staff, according to workload, space, and equipment availability.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Adobe Acrobat
- Working knowledge of Administration and Management
- Working knowledge of English Language
- Working knowledge of Customer and Personal Service

Preferred qualifications:
- Experience with Apache Hadoop, Apache Maven, Autodesk Revit, Cisco Webex",Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Adobe Acrobat; Administration and Management; English Language; Customer and Personal Service,https://example.com/jobs/11-9111.00,2026-06-01,LinkedIn
Medical and Health Services Manager,Meridian Logistics,"McLean, VA","78,000-118,000","Meridian Logistics is hiring a Medical and Health Services Manager in McLean, VA. Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.

Responsibilities:
- Direct, supervise and evaluate work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel.
- Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.
- Plan, implement, and administer programs and services in a health care or medical facility, including personnel administration, training, and coordination of medical, nursing and physical plant staff.
- Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.
- Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.
- Establish work schedules and assignments for staff, according to workload, space, and equipment availability.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Adobe Acrobat
- Working knowledge of Administration and Management
- Working knowledge of English Language
- Working knowledge of Customer and Personal Service

Preferred qualifications:
- Experience with Apache Hadoop, Apache Maven, Autodesk Revit, Cisco Webex",Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Adobe Acrobat; Administration and Management; English Language; Customer and Personal Service,https://example.com/jobs/11-9111.00,2026-06-01,LinkedIn
Clinical Nurse Specialist,Brightpath Solutions,"McLean, VA","110,000-160,000","Brightpath Solutions is hiring a Clinical Nurse Specialist in McLean, VA. Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.

Responsibilities:
- Provide specialized direct and indirect care to inpatients and outpatients within a designated specialty, such as obstetrics, neurology, oncology, or neonatal care.
- Collaborate with other health care professionals and service providers to ensure optimal patient care.
- Read current literature, talk with colleagues, or participate in professional organizations or conferences to keep abreast of developments in nursing.
- Develop, implement, or evaluate standards of nursing practice in specialty area, such as pediatrics, acute care, and geriatrics.
- Maintain departmental policies, procedures, objectives, or infection control standards.
- Instruct nursing staff in areas such as the assessment, development, implementation, and evaluation of disability, illness, management, technology, or resources.

Required qualifications:
- Graduate or professional degree; 5+ years of relevant experience
- Proficiency with eClinicalWorks EHR software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint
- Working knowledge of Medicine and Dentistry
- Working knowledge of Education and Training
- Working knowledge of Psychology

Preferred qualifications:
- Experience with Microsoft Word, Allscripts Professional EHR, Amkai AmkaiCharts, Bizmatics PrognoCIS EMR",eClinicalWorks EHR software; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Medicine and Dentistry; Education and Training; Psychology,https://example.com/jobs/29-1141.04,2026-06-01,LinkedIn
Clinical Nurse Specialist,Summit Financial,"Atlanta, GA","110,000-160,000","Summit Financial is hiring a Clinical Nurse Specialist in Atlanta, GA. Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.

Responsibilities:
- Provide specialized direct and indirect care to inpatients and outpatients within a designated specialty, such as obstetrics, neurology, oncology, or neonatal care.
- Collaborate with other health care professionals and service providers to ensure optimal patient care.
- Read current literature, talk with colleagues, or participate in professional organizations or conferences to keep abreast of developments in nursing.
- Develop, implement, or evaluate standards of nursing practice in specialty area, such as pediatrics, acute care, and geriatrics.
- Maintain departmental policies, procedures, objectives, or infection control standards.
- Instruct nursing staff in areas such as the assessment, development, implementation, and evaluation of disability, illness, management, technology, or resources.

Required qualifications:
- Graduate or professional degree; 5+ years of relevant experience
- Proficiency with eClinicalWorks EHR software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint
- Working knowledge of Medicine and Dentistry
- Working knowledge of Education and Training
- Working knowledge of Psychology

Preferred qualifications:
- Experience with Microsoft Word, Allscripts Professional EHR, Amkai AmkaiCharts, Bizmatics PrognoCIS EMR",eClinicalWorks EHR software; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Medicine and Dentistry; Education and Training; Psychology,https://example.com/jobs/29-1141.04,2026-06-01,LinkedIn
Mathematical Science Teacher,Cedar Ridge Care,"Atlanta, GA","110,000-160,000","Cedar Ridge Care is hiring a Mathematical Science Teacher in Atlanta, GA. Teach courses pertaining to mathematical concepts, statistics, and actuarial science and to the application of original and standardized mathematical techniques in solving specific problems and situations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.

Responsibilities:
- Compile, administer, and grade examinations, or assign this work to others.
- Evaluate and grade students' class work, assignments, and papers.
- Prepare and deliver lectures to undergraduate or graduate students on topics such as linear algebra, differential equations, and discrete mathematics.
- Maintain student attendance records, grades, and other required records.
- Prepare course materials, such as syllabi, homework assignments, and handouts.
- Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.

Required qualifications:
- Graduate or professional degree; 5+ years of relevant experience
- Proficiency with Learning management system LMS, Google Docs, Microsoft Access, Microsoft Excel, Microsoft Office software
- Working knowledge of Mathematics
- Working knowledge of Education and Training
- Working knowledge of English Language

Preferred qualifications:
- Experience with Microsoft Outlook, Microsoft PowerPoint, Microsoft Visual Basic, Microsoft Visual Basic for Applications VBA",Learning management system LMS; Google Docs; Microsoft Access; Microsoft Excel; Microsoft Office software; Mathematics; Education and Training; English Language,https://example.com/jobs/25-1022.00,2026-06-01,LinkedIn
Mathematical Science Teacher,Vantage Retail,Remote,"110,000-160,000","Vantage Retail is hiring a Mathematical Science Teacher in Remote. Teach courses pertaining to mathematical concepts, statistics, and actuarial science and to the application of original and standardized mathematical techniques in solving specific problems and situations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.

Responsibilities:
- Compile, administer, and grade examinations, or assign this work to others.
- Evaluate and grade students' class work, assignments, and papers.
- Prepare and deliver lectures to undergraduate or graduate students on topics such as linear algebra, differential equations, and discrete mathematics.
- Maintain student attendance records, grades, and other required records.
- Prepare course materials, such as syllabi, homework assignments, and handouts.
- Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.

Required qualifications:
- Graduate or professional degree; 5+ years of relevant experience
- Proficiency with Learning management system LMS, Google Docs, Microsoft Access, Microsoft Excel, Microsoft Office software
- Working knowledge of Mathematics
- Working knowledge of Education and Training
- Working knowledge of English Language

Preferred qualifications:
- Experience with Microsoft Outlook, Microsoft PowerPoint, Microsoft Visual Basic, Microsoft Visual Basic for Applications VBA",Learning management system LMS; Google Docs; Microsoft Access; Microsoft Excel; Microsoft Office software; Mathematics; Education and Training; English Language,https://example.com/jobs/25-1022.00,2026-06-01,LinkedIn
Software Developer,Onyx Technologies,Remote,"78,000-118,000","Onyx Technologies is hiring a Software Developer in Remote. Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.

Responsibilities:
- Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.
- Develop or direct software system testing or validation procedures, programming, or documentation.
- Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces.
- Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance.
- Prepare reports or correspondence concerning project specifications, activities, or status.
- Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Amazon Web Services AWS software, Apache Kafka, Atlassian JIRA, C, C#
- Working knowledge of Computers and Electronics
- Working knowledge of Mathematics
- Working knowledge of Customer and Personal Service

Preferred qualifications:
- Experience with C++, Cascading style sheets CSS, Docker, Git",Amazon Web Services AWS software; Apache Kafka; Atlassian JIRA; C; C#; Computers and Electronics; Mathematics; Customer and Personal Service,https://example.com/jobs/15-1252.00,2026-06-01,LinkedIn
Software Developer,Harborview Systems,"Columbus, OH","78,000-118,000","Harborview Systems is hiring a Software Developer in Columbus, OH. Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.

Responsibilities:
- Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.
- Develop or direct software system testing or validation procedures, programming, or documentation.
- Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces.
- Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance.
- Prepare reports or correspondence concerning project specifications, activities, or status.
- Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Amazon Web Services AWS software, Apache Kafka, Atlassian JIRA, C, C#
- Working knowledge of Computers and Electronics
- Working knowledge of Mathematics
- Working knowledge of Customer and Personal Service

Preferred qualifications:
- Experience with C++, Cascading style sheets CSS, Docker, Git",Amazon Web Services AWS software; Apache Kafka; Atlassian JIRA; C; C#; Computers and Electronics; Mathematics; Customer and Personal Service,https://example.com/jobs/15-1252.00,2026-06-01,LinkedIn
