title,company,location,description,salary,url,date_found,date_of_last_update,date_posted,source,application_status
Senior Data Engineer,Accenture Federal Services,Washington DC,Design and build scalable data pipelines using Python Apache Spark and AWS Glue. Work with LLM infrastructure and MLOps tooling. Collaborate with cross-functional teams on data mesh architecture. Requires 5+ years Python SQL Airflow and strong communication skills.,130000-165000,https://jobs.accenture.com/sr-data-engineer-dc,5/31/2026,5/31/2026,5/20/2026,demo,Have Not Applied
AI/ML Engineer,Booz Allen Hamilton,McLean VA (Hybrid),Develop and deploy machine learning models for federal clients. Experience with PyTorch TensorFlow LangChain and vector databases such as ChromaDB or Pinecone. Active clearance preferred. Python Kubernetes Docker required.,140000-185000,https://careers.boozallen.com/ai-ml-engineer-mclean,5/31/2026,5/31/2026,5/18/2026,demo,Applied
Data Scientist,Capital One,McLean VA (Hybrid),Apply statistical modeling and machine learning to credit risk and fraud detection problems. R Python SQL A/B testing experimentation and stakeholder communication required. Experience with MLflow and experiment tracking a plus.,120000-160000,https://capitalonecareers.com/data-scientist-mclean,5/31/2026,5/31/2026,5/22/2026,demo,Rejected
LLM Engineer,Leidos,Reston VA,Build production RAG systems and fine-tune open-source LLMs for government intelligence applications. Hands-on with HuggingFace transformers PEFT LoRA and vector stores. Python Kubernetes CI/CD required.,150000-200000,https://leidos.com/careers/llm-engineer-reston,5/31/2026,5/31/2026,5/15/2026,demo,Interviewing
Analytics Engineer,SAIC,Chantilly VA,Transform raw data into analytics-ready models using dbt Snowflake and SQL. Partner with data scientists and product teams. Python Airflow GitHub Actions required. Experience with federal data governance a plus.,110000-145000,https://saic.com/careers/analytics-engineer,5/31/2026,5/31/2026,5/19/2026,demo,Under Consideration
MLOps Engineer,Palantir Technologies,Washington DC (Hybrid),Design and maintain ML training and serving infrastructure. Docker Kubernetes MLflow Ray and Python required. Experience with on-premise GPU clusters and air-gapped environments a significant advantage.,160000-220000,https://palantir.com/careers/mlops-dc,5/31/2026,5/31/2026,5/21/2026,demo,Applied
Data Engineer,Deloitte,Arlington VA,Build cloud-native data pipelines on AWS Azure and GCP for consulting clients. Spark Kafka dbt SQL Python required. Experience with Terraform and infrastructure-as-code strongly preferred.,115000-155000,https://deloitte.com/careers/data-engineer-arlington,5/31/2026,5/31/2026,5/17/2026,demo,Applied
AI Product Manager,Gartner,Arlington VA (Hybrid),Lead product strategy for AI-powered analytics products. Define roadmaps collaborate with engineering and translate user needs into requirements. MBA preferred. 5+ years product management experience with data or AI products.,130000-175000,https://gartner.com/careers/ai-pm-arlington,5/31/2026,5/31/2026,5/16/2026,demo,Applied
NLP Research Scientist,MITRE Corporation,McLean VA,Conduct applied NLP research for government sponsors. Experience with transformer architectures fine-tuning LLMs and information extraction. PhD or MS in CS NLP or related field. Python PyTorch HuggingFace required.,130000-170000,https://mitre.org/careers/nlp-scientist,5/31/2026,5/31/2026,5/14/2026,demo,Applied
Senior Data Analyst,Fannie Mae,Washington DC (Hybrid),Analyze mortgage portfolio data to identify risk and opportunity. Advanced SQL Python Tableau Power BI required. Experience with Databricks and statistical modeling preferred. Communicate findings to C-suite stakeholders.,100000-135000,https://fanniemae.com/careers/sr-data-analyst,5/31/2026,5/31/2026,5/23/2026,demo,Applied
Data Platform Engineer,Amazon Web Services,Arlington VA,Build internal data platforms and developer tooling on AWS. Spark Glue Lake Formation Python CDK Terraform required. Experience designing data mesh or data lakehouse architectures.,145000-200000,https://amazon.jobs/data-platform-arlington,5/31/2026,5/31/2026,5/20/2026,demo,Applied
